"PARAM_SYNONYM","n_FB_bdl","n_both_bdl","n_SA_bdl","n_both_adl","mean","median","stdev","min","max"
"Acenaphthene",4,1,0,0,NA,NA,NA,NA,NA
"Acenaphthylene",4,1,0,0,NA,NA,NA,NA,NA
"Anthracene",5,0,0,0,NA,NA,NA,NA,NA
"Benzo(a)anthracene",4,0,0,1,16.94,16.94,NA,16.94,16.94
"Benzo(a)pyrene",5,0,0,0,NA,NA,NA,NA,NA
"Benzo(b)fluoranthene",5,0,0,0,NA,NA,NA,NA,NA
"Benzo(e)pyrene",5,0,0,0,NA,NA,NA,NA,NA
"Benzo(g,h,i)perylene",4,0,0,1,4.01,4.01,NA,4.01,4.01
"Benzo(k)fluoranthene",5,0,0,0,NA,NA,NA,NA,NA
"C1-Chrysenes",5,0,0,0,NA,NA,NA,NA,NA
"C1-Fluoranthenes/Pyrenes",5,0,0,0,NA,NA,NA,NA,NA
"C1-Naphthalenes",0,0,0,5,220.088,33.45,441.936555593673,7.48,1010.34
"C1-Phenanthrenes/Anthracenes",4,1,0,0,NA,NA,NA,NA,NA
"C2-Chrysenes",4,1,0,0,NA,NA,NA,NA,NA
"C2-Fluoranthenes/Pyrenes",4,1,0,0,NA,NA,NA,NA,NA
"C2-Naphthalenes",4,1,0,0,NA,NA,NA,NA,NA
"C2-Phenanthrenes/Anthracenes",4,1,0,0,NA,NA,NA,NA,NA
"C3-Chrysenes",4,1,0,0,NA,NA,NA,NA,NA
"C3-Fluoranthenes/Pyrenes",4,1,0,0,NA,NA,NA,NA,NA
"C3-Naphthalenes",4,1,0,0,NA,NA,NA,NA,NA
"C3-Phenanthrenes/Anthracenes",4,1,0,0,NA,NA,NA,NA,NA
"C4-Chrysenes",2,3,0,0,NA,NA,NA,NA,NA
"C4-Naphthalenes",4,1,0,0,NA,NA,NA,NA,NA
"C4-Phenanthrenes/Anthracenes",4,1,0,0,NA,NA,NA,NA,NA
"Chrysene",1,0,0,4,1.495,0.1,2.85050287961031,0.01,5.77
"Dibenz(a,h)anthracene",4,1,0,0,NA,NA,NA,NA,NA
"Fluoranthene",0,0,0,5,10.486,0.1,20.656436769201,0.02,47.24
"Fluorene",3,1,0,1,15.5,15.5,NA,15.5,15.5
"Indeno(1,2,3-cd)pyrene",5,0,0,0,NA,NA,NA,NA,NA
"Naphthalene",0,0,0,5,394.828,31.3,817.629125196749,5.47,1857.14
"Perylene",5,0,0,0,NA,NA,NA,NA,NA
"Phenanthrene",0,0,0,5,75.248,0.3,164.95996899248,0.04,370.31
"Pyrene",1,0,0,4,1.3175,0.095,2.48860570065515,0.03,5.05
